feature,min,max
SlogP_VSA3,0.46000000834465027,4.070000171661377
fr_nitro,0.0,1760740.625
AUTOCORR2D_104,0.020879998803138733,148500.0
AUTOCORR2D_170,0.0,4.789999961853027
fr_phos_ester,0.0,4.639999866485596
AUTOCORR2D_68,-1.600000023841858,1.5
SMR_VSA5,-1.5,3.0
FpDensityMorgan1,-1.4299999475479126,3.440000057220459
fr_alkyl_halide,-1.2799999713897705,1.4900000095367432
fr_amidine,-1.2699999809265137,4.25
fr_sulfonamd,-1.1799999475479126,1.0
price_usd_g,-1.4700000286102295,1.0
AUTOCORR2D_81,-1.6299999952316284,1.0800000429153442
NumRadicalElectrons,-2.059999942779541,1.5
fr_halogen,-2.609999895095825,3.0
AUTOCORR2D_188,0.0,4.760000228881836
AUTOCORR2D_46,-1.7200000286102295,2.569999933242798
fr_COO,-1.1799999475479126,1.2799999713897705
AUTOCORR2D_178,-2.2300000190734863,2.7899999618530273
AUTOCORR2D_119,-1.1100000143051147,1.0
fr_benzene,-1.0,1.0
AUTOCORR2D_47,-1.3600000143051147,1.0800000429153442
AUTOCORR2D_73,-1.600000023841858,1.7100000381469727
BCUT2D_CHGLO,-1.5,3.0
NumHeteroatoms,-1.2999999523162842,2.5
AUTOCORR2D_181,-1.440000057220459,1.2599999904632568
fr_aniline,0.0,4.699999809265137
AUTOCORR2D_42,-1.2599999904632568,4.300000190734863
epsi,-1.1699999570846558,1.0
SlogP_VSA12,-1.5,1.0
MaxAbsPartialCharge,-1.7200000286102295,1.0800000429153442
PEOE_VSA2,-2.380000114440918,1.5
fr_dihydropyridine,-2.9000000953674316,3.0
AUTOCORR2D_74,-2.0399999618530273,2.5
AUTOCORR2D_103,-1.2999999523162842,1.3300000429153442
AUTOCORR2D_189,-2.609999895095825,3.440000057220459
SlogP_VSA5,-1.149999976158142,1.0
AUTOCORR2D_187,0.0,4.699999809265137
AUTOCORR2D_99,-1.3799999952316284,1.0
EState_VSA8,-1.4700000286102295,1.1799999475479126
AUTOCORR2D_150,-1.059999942779541,1.5
HallKierAlpha,-1.190000057220459,3.0
fr_thiocyan,-1.2400000095367432,4.0
VSA_EState1,-1.0299999713897705,1.2999999523162842
FractionCSP3,-1.2999999523162842,1.8600000143051147
SlogP_VSA7,-1.0399999618530273,1.0
AUTOCORR2D_183,-1.5,1.0
fr_Ar_N,-2.0,1.0
SMR_VSA3,0.0,4.75
AUTOCORR2D_82,-2.5,2.259999990463257
NumValenceElectrons,-2.0299999713897705,2.240000009536743
AUTOCORR2D_10,-2.869999885559082,2.390000104904175
PEOE_VSA14,-2.049999952316284,1.409999966621399
AUTOCORR2D_101,-1.8300000429153442,4.070000171661377
AUTOCORR2D_3,0.0,3.4100000858306885
fr_Ndealkylation2,0.0,2.2300000190734863
AUTOCORR2D_148,0.0,3.200000047683716
NumAromaticCarbocycles,0.0,3.5
AUTOCORR2D_96,0.0,4.5
AUTOCORR2D_141,0.0,4.849999904632568
AUTOCORR2D_70,0.0,5.5
NumHDonors,0.0,7.039999961853027
fr_imide,0.0,6.5
BCUT2D_MWHI,0.0,2.940000057220459
SlogP_VSA2,0.0,2.0199999809265137
fr_sulfone,0.0,2.880000114440918
NumAromaticHeterocycles,0.0,3.559999942779541
AUTOCORR2D_102,0.0,6.0
VSA_EState2,0.0,5.5
fr_prisulfonamd,0.0,4.329999923706055
AUTOCORR2D_80,0.0,4.809999942779541
AUTOCORR2D_52,0.0,6.5
TPSA,0.0,2.5
AUTOCORR2D_185,0.0,1.7999999523162842
AUTOCORR2D_151,0.0,2.509999990463257
AUTOCORR2D_63,0.0,3.5
